siteid,UNIT_NAME,Category,month,year,userdays,daysinmonth,UNIT_CODE,ForestName,MultiPart,NVUM_year,old_siteid,RSL_TYPE,notes,POI
NAT_005,Rocky Mountain National Park,NPS,2,2019,94380.365922,28,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,11,2018,140325.573143,30,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,8,2019,455379.580449,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,6,2018,424038.178217,30,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,5,2018,214299.226321,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,12,2018,131333.552921,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,8,2018,513707.139206,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,9,2018,513565.225462,30,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,4,2018,112516.492265,30,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,1,2019,94835.995202,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,10,2018,268084.420388,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_005,Rocky Mountain National Park,NPS,3,2019,149194.008508,31,ROMO,NA,NA,NA,NA,NA,NA,10
NAT_006,Vietnam Veterans Memorial,NPS,5,2019,133943.774915,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,3,2018,88282.382263,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,5,2018,92147.066906,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,9,2019,42995.34507,30,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,11,2019,48798.881551,30,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,6,2019,112697.51887,30,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,3,2019,85381.099328,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,4,2018,72422.20864,30,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,7,2018,71895.003902,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,10,2019,70470.036631,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,4,2019,144979.146436,30,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,12,2019,21514.044529,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,2,2018,31582.632334,28,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,7,2019,87129.907177,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,11,2018,65039.338875,30,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,8,2018,56385.894307999995,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,10,2018,97858.506762,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,1,2019,24011.425634,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,1,2018,19926.685592,28,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,8,2019,48216.748153,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,12,2018,33304.474478000004,31,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,9,2018,73729.485159,30,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,2,2019,24080.465348,28,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_006,Vietnam Veterans Memorial,NPS,6,2018,85061.571862,30,VIVE,NA,NA,NA,NA,NA,NA,11
NAT_007,Independence National Historical Park,NPS,8,2019,992692.117988,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,5,2019,1050005.157193,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,4,2018,744729.570844,30,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,9,2019,869175.72931,30,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,3,2018,885451.88486,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,12,2019,806189.7731849999,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,12,2018,777145.812602,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,10,2018,887990.006709,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,7,2019,1072203.411184,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,6,2018,878597.109978,30,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,8,2018,836974.53549,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,1,2019,687012.126415,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,10,2019,856897.225693,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,6,2019,1094001.363538,30,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,11,2018,782299.1281109999,30,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,2,2019,692943.5982530001,28,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,4,2019,941937.523303,30,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,11,2019,797479.621577,30,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,9,2018,900567.589698,30,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,7,2018,843281.41747,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,1,2018,682163.65475,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,5,2018,818558.634725,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,3,2019,892582.777971,31,INDE,NA,NA,NA,NA,NA,NA,12
NAT_007,Independence National Historical Park,NPS,2,2018,765252.411139,28,INDE,NA,NA,NA,NA,NA,NA,12
NAT_008,Zion National Park,NPS,6,2019,306908.216488,30,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,4,2019,239560.18049,30,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,7,2019,318548.876283,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,3,2018,264667.985996,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,12,2018,96231.916429,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,1,2019,72788.593023,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,8,2019,220179.185235,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,12,2019,110919.75676,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,5,2019,283378.821903,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,4,2018,221281.986617,30,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,9,2018,247260.454774,30,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,9,2019,237913.742721,30,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,3,2019,194414.397524,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,5,2018,257327.273632,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,10,2019,252888.35247,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,6,2018,299932.082521,30,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,8,2018,250702.373237,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,11,2019,163217.207365,30,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,7,2018,251628.144826,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,11,2018,151253.664563,30,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,2,2019,68823.94262,28,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,1,2018,91483.188952,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,2,2018,111450.182555,28,ZION,NA,NA,NA,NA,NA,NA,13
NAT_008,Zion National Park,NPS,10,2018,212818.346035,31,ZION,NA,NA,NA,NA,NA,NA,13
NAT_009,Yosemite National Park,NPS,4,2018,285434.867628,30,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,7,2019,596297.182762,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,5,2019,400731.920154,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,11,2018,257893.666804,30,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,9,2019,373997.88692,30,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,6,2019,516062.160676,30,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,10,2018,327429.604009,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,8,2019,489357.435989,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,3,2018,269040.857583,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,10,2019,343133.769562,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,8,2018,241175.486004,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,12,2018,212371.605575,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,9,2018,394012.74622,30,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,12,2019,209910.573297,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,6,2018,502458.587143,30,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,1,2018,179386.932552,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,4,2019,343314.150935,30,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,1,2019,154139.407703,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,5,2018,427293.437969,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,2,2018,235607.062716,28,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,3,2019,186054.201173,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,2,2019,134863.02223,28,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,7,2018,417077.627532,31,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_009,Yosemite National Park,NPS,11,2019,262990.677715,30,YOSE,NA,NA,NA,NA,NA,NA,14
NAT_010,Castle Clinton National Monument,NPS,11,2018,74897.230937,30,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,5,2019,81061.707232,31,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,7,2019,97150.540703,31,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,6,2019,91953.456352,30,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,8,2018,121193.102856,31,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,3,2019,67589.590622,31,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,10,2018,96859.414046,31,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,12,2018,82025.735249,31,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,12,2019,58516.638381,31,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,3,2018,129425.673904,31,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,5,2018,109661.78546,31,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,4,2018,98730.170659,30,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,2,2019,66153.249459,28,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,1,2019,87463.74223,31,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,11,2019,49969.362235,30,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,2,2018,92454.445752,28,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,7,2018,146307.014608,31,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,9,2019,69710.288759,30,CACL,NA,NA,NA,NA,NA,NA,15
NAT_010,Castle Clinton National Monument,NPS,1,2018,71259.66118,31,CACL,NA,NA,NA,NA,NA,NA,15
