siteid,month,tmean_celsius
NAT_089,1/1/18,-8.001068
NAT_089,2/1/18,-9.728546
NAT_089,3/1/18,-5.9216003
NAT_089,4/1/18,-1.1003723
NAT_089,5/1/18,4.4651184
NAT_089,6/1/18,10.074249
NAT_089,7/1/18,16.244202
NAT_089,8/1/18,14.203888
NAT_089,9/1/18,10.523224
NAT_089,10/1/18,0.7663269
NAT_089,11/1/18,-7.806305
NAT_089,12/1/18,-11.12735
NAT_089,1/1/19,-9.815765
NAT_089,2/1/19,-10.715546
NAT_089,3/1/19,-6.177826
NAT_089,4/1/19,-0.81066895
NAT_089,5/1/19,1.5163574
NAT_089,6/1/19,7.840515
NAT_089,7/1/19,14.89505
NAT_089,8/1/19,14.865631
NAT_089,9/1/19,8.7222595
NAT_089,10/1/19,-4.628784
NAT_089,11/1/19,-6.0415955
NAT_089,12/1/19,-10.400482
NAT_089,1/1/20,-9.051697
NAT_089,2/1/20,-10.486511
NAT_089,3/1/20,-4.9691772
NAT_089,4/1/20,-2.4813538
NAT_089,5/1/20,3.2918396
NAT_089,6/1/20,8.699127
NAT_089,7/1/20,14.568695
NAT_089,8/1/20,16.357086
NAT_089,9/1/20,9.838074
NAT_089,10/1/20,2.0144043
NAT_089,11/1/20,-6.547119
NAT_089,12/1/20,-10.265137
NAT_089,1/1/21,-10.063599
NAT_089,2/1/21,-10.040131
NAT_089,3/1/21,-6.0271606
NAT_089,4/1/21,-2.4067078
NAT_089,5/1/21,2.8445435
NAT_089,6/1/21,13.181732
NAT_089,7/1/21,17.489044
NAT_089,8/1/21,13.444519
NAT_089,9/1/21,10.1203
NAT_089,10/1/21,1.3605957
NAT_089,11/1/21,-3.5620728
NAT_089,12/1/21,-8.781097
NAT_089,1/1/22,-10.3828125
NAT_089,2/1/22,-10.550049
NAT_089,3/1/22,-4.903351
NAT_089,4/1/22,-3.8503113
NAT_089,5/1/22,1.236023
NAT_089,6/1/22,8.3307495
NAT_089,7/1/22,16.75888
NAT_089,8/1/22,15.154236
NAT_089,9/1/22,11.431366
NAT_089,10/1/22,2.318451
NAT_089,11/1/22,-9.421295
NAT_089,12/1/22,-11.582184
NAT_090,1/1/18,-7.3217163
NAT_090,2/1/18,-9.260193
NAT_090,3/1/18,-5.31369
NAT_090,4/1/18,-0.22286987
NAT_090,5/1/18,6.1363525
NAT_090,6/1/18,10.750336
NAT_090,7/1/18,18.324127
NAT_090,8/1/18,16.23825
NAT_090,9/1/18,11.121277
NAT_090,10/1/18,2.474121
NAT_090,11/1/18,-5.182007
NAT_090,12/1/18,-10.890137
NAT_090,1/1/19,-9.075775
NAT_090,2/1/19,-9.643097
NAT_090,3/1/19,-5.263214
NAT_090,4/1/19,0.14840698
NAT_090,5/1/19,4.428711
NAT_090,6/1/19,10.386414
NAT_090,7/1/19,15.8315735
NAT_090,8/1/19,16.230286
NAT_090,9/1/19,9.965332
NAT_090,10/1/19,-3.3907166
NAT_090,11/1/19,-2.632782
NAT_090,12/1/19,-9.547852
NAT_090,1/1/20,-8.838867
NAT_090,2/1/20,-8.720886
NAT_090,3/1/20,-4.2238464
NAT_090,4/1/20,-1.0124817
NAT_090,5/1/20,5.370117
NAT_090,6/1/20,9.848206
NAT_090,7/1/20,15.633881
NAT_090,8/1/20,17.546417
NAT_090,9/1/20,12.511261
NAT_090,10/1/20,4.2790833
NAT_090,11/1/20,-5.637024
NAT_090,12/1/20,-9.52655
NAT_090,1/1/21,-9.313538
NAT_090,2/1/21,-9.637482
NAT_090,3/1/21,-4.6530457
NAT_090,4/1/21,-0.8139038
NAT_090,5/1/21,4.446289
NAT_090,6/1/21,15.519501
NAT_090,7/1/21,20.122742
NAT_090,8/1/21,15.03244
NAT_090,9/1/21,11.901855
NAT_090,10/1/21,2.6805725
NAT_090,11/1/21,-2.214264
NAT_090,12/1/21,-8.235291
NAT_090,1/1/22,-9.232666
NAT_090,2/1/22,-8.9088745
NAT_090,3/1/22,-3.0949707
NAT_090,4/1/22,-3.2749329
NAT_090,5/1/22,2.121399
NAT_090,6/1/22,9.957214
NAT_090,7/1/22,18.306519
NAT_090,8/1/22,18.3396
NAT_090,9/1/22,13.299927
NAT_090,10/1/22,4.944092
NAT_090,11/1/22,-9.657227
NAT_090,12/1/22,-10.981262
NAT_091,1/1/18,-7.426117
NAT_091,2/1/18,-8.065216
NAT_091,3/1/18,-4.416565
NAT_091,4/1/18,1.8726196
NAT_091,5/1/18,7.954132
NAT_091,6/1/18,14.942169
NAT_091,7/1/18,18.59851
NAT_091,8/1/18,16.27658
NAT_091,9/1/18,13.2717285
NAT_091,10/1/18,1.464447
NAT_091,11/1/18,-4.022217
NAT_091,12/1/18,-10.373657
NAT_091,1/1/19,-9.607452
NAT_091,2/1/19,-11.12616
NAT_091,3/1/19,-5.6416626
