year,month,siteid,UNIT_NAME,pud,tud,aud,eud,d2p
2020,Jan,NAT_060,Cibola National Forest,0,27,189,184,2020-01-15
2020,Jan,NAT_061,Coronado National Forest,14,87,937,1150,2020-01-15
2020,Jan,NAT_062,Lincoln National Forest,0,31,40,5,2020-01-15
2020,Jan,NAT_063,Gila National Forest,0,13,32,27,2020-01-15
2020,Jan,NAT_064,Prescott National Forest,2,7,174,40,2020-01-15
2020,Jan,NAT_065,Apache-Sitgreaves National Forests,3,7,12,20,2020-01-15
2020,Jan,NAT_066,Santa Fe National Forest,2,52,50,40,2020-01-15
2020,Jan,NAT_067,Dakota Prairie Grasslands,0,1,0,9,2020-01-15
2020,Jan,NAT_068,Bitterroot National Forest,0,9,16,2,2020-01-15
2020,Jan,NAT_069,Idaho Panhandle National Forests,1,8,21,5,2020-01-15
2020,Jan,NAT_070,Nez Perce-Clearwater National Forest,0,15,6,3,2020-01-15
2020,Jan,NAT_071,Lolo National Forest,0,14,32,36,2020-01-15
2020,Jan,NAT_072,Kootenai National Forest,0,2,1,4,2020-01-15
2020,Jan,NAT_073,Payette National Forest,0,9,1,2,2020-01-15
2020,Jan,NAT_074,Stanislaus National Forest,1,30,52,10,2020-01-15
2020,Jan,NAT_075,Mendocino National Forest,1,15,1,31,2020-01-15
2020,Jan,NAT_076,Cleveland National Forest,8,60,705,102,2020-01-15
2020,Jan,NAT_077,Modoc National Forest,1,5,0,2,2020-01-15
2020,Jan,NAT_078,Shasta-Trinity National Forest,0,23,31,6,2020-01-15
2020,Jan,NAT_079,San Bernardino National Forest,11,125,474,43,2020-01-15
2020,Jan,NAT_080,Los Padres National Forest,27,53,209,113,2020-01-15
2020,Jan,NAT_081,Angeles National Forest,6,191,1516,176,2020-01-15
2020,Jan,NAT_082,Six Rivers National Forest,1,16,4,4,2020-01-15
2020,Jan,NAT_083,Klamath National Forest,0,4,0,8,2020-01-15
2020,Jan,NAT_084,Sequoia National Forest,1,17,65,43,2020-01-15
2020,Jan,NAT_085,Inyo National Forest,16,166,28,68,2020-01-15
2020,Jan,NAT_086,Eldorado National Forest,6,42,51,5,2020-01-15
2020,Jan,NAT_087,Malheur National Forest,0,2,0,2,2020-01-15
2020,Jan,NAT_088,Siuslaw National Forest,7,12,105,51,2020-01-15
2020,Jan,NAT_089,Bridger-Teton National Forest,0,19,7,16,2020-01-15
2020,Jan,NAT_090,Salmon-Challis National Forest,0,39,0,0,2020-01-15
2020,Jan,NAT_091,Ashley National Forest,0,9,0,11,2020-01-15
2020,Jan,NAT_092,Fishlake National Forest,1,14,0,2,2020-01-15
2020,Jan,NAT_093,Boise National Forest,0,10,14,5,2020-01-15
2020,Jan,NAT_094,Uinta-Wasatch-Cache National Forest,7,201,547,99,2020-01-15
2020,Jan,NAT_095,Manti-La Sal National Forest,0,47,2,9,2020-01-15
2020,Jan,NAT_096,Dixie National Forest,3,10,17,9,2020-01-15
